para,GBR_date_test,GBR_date_train,GBR_test,GBR_train,RandomForest_date_test,RandomForest_date_train,RandomForest_test,RandomForest_train
70.0,30825.47467192253,21689.62366476588,26029.33275040801,10488.968524344225,27597.736425674786,14923.984143302678,24104.398460829518,10867.491162977884
74.0,30805.252220448056,21415.159769226477,26282.47690934172,10199.539403956927,27529.40114619919,14958.779950491238,24228.61916521363,10928.630163684827
78.0,31021.21450572395,21085.59775374858,25657.05095388235,9802.204066920205,27442.39821503899,14904.103138491206,24037.421255169582,10921.721965511031
82.0,31144.79340608303,20887.478141409647,25963.19254654079,9400.637610983054,27473.609730381962,14832.034947892644,24265.999541699464,10853.48437220888
86.0,31132.858537802338,20725.007406754143,25947.122438593266,9027.77496040274,27311.35835216839,14819.28876667174,24258.12075206303,10805.172109400608
90.0,31220.332355322014,20502.81367090614,25128.07201898225,8664.402298649935,27229.318992818728,14741.115248898946,24387.909724014356,10717.414957746492
94.0,31262.79884093971,20388.25652372314,26342.702605106828,8317.720954278851,27324.56993392733,14760.174841493998,24518.043291008944,10701.887912046757
98.0,31331.94804196896,20278.249865710393,26037.847348331197,7916.102554580507,27445.95639674048,14839.634760893592,24461.802481896004,10697.487725639563
102.0,31142.840143201607,20109.00551862892,25408.604426129416,7435.661788925871,27418.23616069921,14819.79650776226,24404.236464263144,10698.753309168746
106.0,31196.722313711398,19977.582084068836,25595.787495324454,7194.937532289101,27444.24176606743,14808.994267877699,24384.99194004871,10706.643679245286
110.0,31357.34633738888,19887.978525464536,25865.531106354618,6911.220087221176,27482.54052418306,14772.737799408571,24383.90276832846,10677.554845070425
114.0,31239.196538600063,19668.202743141945,25441.58016418981,6681.010367768561,27460.19739706118,14799.672934782671,24328.5961926995,10690.34677230047
118.0,31268.894229944694,19588.872546859762,25276.585953124446,6401.338397224264,27434.9818034575,14753.092342838092,24243.833292782943,10680.206119598952
122.0,31160.770549185858,19504.83519526043,26370.793697501744,6215.244416671977,27467.531140634812,14751.5373881087,24369.139048122695,10702.163738166706
126.0,31261.757722434755,19387.465370739574,25719.363801779677,5889.261608126611,27393.88404455902,14771.46184476833,24357.900833333348,10648.763353454056
130.0,31355.0384929513,19302.175195564272,25542.276253338627,5608.146704222102,27349.84633053288,14708.533767962886,24320.666573200997,10654.677239978326
135.0,31376.924942349913,19168.317369284614,26004.717059787366,5315.8696365375945,27366.07436398132,14739.479172044594,24394.748580645173,10626.14914919144
139.0,31291.67144448313,19045.226324334064,26103.691548890507,5113.140218213936,27465.945306396334,14739.446958604118,24580.113366210262,10578.128273887927
143.0,31291.68722892253,18919.865581794835,26243.985129841236,4965.12078353078,27441.038034041194,14737.393517462562,24485.31601849764,10568.580723431493
147.0,31398.90954202801,18860.354674286584,25729.063388295242,4719.005521489076,27520.890826862367,14725.766436704103,24517.676711652406,10548.423897671737
151.0,31541.92657721321,18792.539422884744,26301.602717898306,4502.943618119976,27467.36378595841,14719.63022181986,24609.38178380687,10513.894861486795
155.0,31500.3319922097,18760.047249206742,26132.775340232296,4306.401366045866,27453.734845453608,14741.497123410329,24647.677314255976,10512.841206724208
159.0,31428.88155019651,18625.867721699793,25821.02533389555,4131.336136447667,27414.017927974834,14764.566052739892,24679.347578616354,10484.580853928595
163.0,31395.117115311987,18579.353947114283,26056.971209207317,3990.531509146558,27391.15509545718,14774.051909995738,24640.729574510195,10488.47382701114
167.0,31285.473613976057,18481.691808132062,25436.37314113825,3828.710001027179,27489.4818155762,14758.64561719918,24667.547231021832,10503.295225605121
171.0,31284.031171525254,18450.04125216431,26076.13363263165,3666.5236373960015,27452.57704366873,14743.183223777338,24664.04201188455,10464.847641462808
175.0,31227.51298012306,18347.54866552256,26107.567103902267,3552.0291109175423,27447.680804636795,14726.323450761687,24627.067467281107,10450.803186317906
179.0,31283.075706993022,18322.41798719834,26101.8169583459,3412.9081429301255,27429.990103714495,14726.531264219366,24601.343137502256,10433.463752852304
183.0,31256.246012421983,18251.576442390797,25776.374528214972,3316.3132185038667,27378.920364844296,14750.121186796525,24597.863067160233,10403.816327253133
187.0,31267.864613627822,18182.895073039672,26042.74780108645,3185.830245363864,27408.9732259666,14789.402915188964,24516.946819906854,10442.493803946676
191.0,31207.989257538607,18148.959476434185,25770.955902700996,3094.1698647259764,27314.51249075523,14788.656584811633,24525.241600236444,10426.573335299754
195.0,31305.12317648138,18013.522817185876,25687.751649447237,2933.927201431804,27260.828938380764,14769.25398836262,24474.943859387928,10440.00487251715
200.0,31231.722249084894,17967.646802600102,25981.69900701855,2820.382870376258,27278.593900001888,14785.898732444635,24440.467591935492,10455.449578169015
